yearweek,user_cnt
200752,4278
200801,4731
200802,4870
200803,4877
200804,4946
200805,4865
200806,4977
200807,4864
200808,4973
200809,4710
200810,4869
200811,4776
200812,4538
200813,3836
200814,4070
200815,4398
200816,4472
200817,3544
200818,3694
200819,3927
200820,3874
200821,4228
200822,4331
200823,3788
200824,3264
200825,3919
200826,4189
200827,4185
200828,4214
200829,4254
200830,4065
200831,3912
200832,4113
200833,3912
200834,3966
200835,3918
200836,3923
200837,3939
200838,3851
200839,4034
200840,6706
200841,5756
200842,4614
200843,4278
200844,4050
200845,3932
200846,4677
200847,5014
200848,4485
200849,4197
200850,4150
200851,4034
200852,3319
