yearweek,avg_enter_cnt
200752,2.6597
200801,3.3524
200802,3.3554
200803,3.3072
200804,3.3275
200805,3.2129
200806,3.2421
200807,3.3292
200808,3.3839
200809,3.3667
200810,3.3274
200811,3.3666
200812,3.0710
200813,2.5057
200814,2.9744
200815,3.3340
200816,3.3086
200817,2.2286
200818,2.6262
200819,2.9129
200820,2.9902
200821,3.3056
200822,3.2879
200823,2.7656
200824,2.2920
200825,3.0219
200826,3.1955
200827,3.1460
200828,3.1770
200829,3.0865
200830,3.2733
200831,3.1651
200832,3.0912
200833,3.1738
200834,3.1495
200835,3.1363
200836,3.1193
200837,3.1513
200838,3.1610
200839,3.1239
200840,2.1795
200841,2.2556
200842,2.5516
200843,2.9495
200844,2.8909
200845,2.9468
200846,2.4148
200847,2.7208
200848,2.9547
200849,3.1008
200850,3.2092
200851,3.2345
200852,2.3079
